City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kalulushi,-12.8378,28.0919,15.14,52,18,2.18,ZM,07/03/2024
1,dudinka,69.4058,86.1778,13.25,54,100,7.12,RU,07/03/2024
2,nadym,65.5333,72.5167,12.99,90,79,4.6,RU,07/03/2024
3,adamstown,-25.066,-130.1015,20.72,64,100,5.13,PN,07/03/2024
4,kangding,30.0513,101.9603,17.04,98,100,0.19,CN,07/03/2024
5,vega de alatorre,20.0333,-96.6333,28.09,78,99,3.27,MX,07/03/2024
6,port-aux-francais,-49.35,70.2167,0.56,61,100,2.9,TF,07/03/2024
7,bredasdorp,-34.5322,20.0403,11.22,83,2,6.55,ZA,07/03/2024
8,campoverde,-8.4753,-74.8058,30.83,40,25,0.2,PE,07/03/2024
9,ushuaia,-54.8,-68.3,1.1,99,100,1.53,AR,07/03/2024
10,duck lake,52.8168,-106.2344,24.5,52,41,4.35,CA,07/03/2024
11,christchurch,-43.5333,172.6333,3.3,87,17,0.89,NZ,07/03/2024
12,puerto aysen,-45.4,-72.7,1.98,96,100,2.79,CL,07/03/2024
13,bethel,41.3712,-73.414,27.58,51,0,4.63,US,07/03/2024
14,pocatello,42.8713,-112.4455,26.12,17,20,9.26,US,07/03/2024
15,crane,31.3974,-102.3501,37.69,27,2,8.18,US,07/03/2024
16,hasaki,35.7333,140.8333,26.22,92,66,2.36,JP,07/03/2024
17,bubaque,11.2833,-15.8333,27.25,76,83,6.74,GW,07/03/2024
18,pollenca,39.8768,3.0163,24.32,66,36,1.46,ES,07/03/2024
19,kiunga,-6.1219,141.2906,23.17,99,100,0.6,PG,07/03/2024
20,vodice,43.7608,15.7828,22.61,50,66,4.8,HR,07/03/2024
21,port elizabeth,-33.918,25.5701,12.83,85,99,3.13,ZA,07/03/2024
22,fale old settlement,-9.3852,-171.2468,28.39,78,22,10.53,TK,07/03/2024
23,smithers,54.7804,-127.1743,20.89,35,43,2.77,CA,07/03/2024
24,downpatrick,54.3263,-5.7035,11.72,68,3,8.49,GB,07/03/2024
25,puerto ayora,-0.7393,-90.3518,24.98,94,35,1.79,EC,07/03/2024
26,waitangi,-43.9535,-176.5597,7.12,91,100,1.79,NZ,07/03/2024
27,ust-nera,64.5667,143.2,17.17,60,98,2.03,RU,07/03/2024
28,bilibino,68.0546,166.4372,17.21,50,53,2.25,RU,07/03/2024
29,sarmiento,-45.5882,-69.07,2.39,56,1,17.88,AR,07/03/2024
30,greymouth,-42.4667,171.2,2.22,79,10,2.85,NZ,07/03/2024
31,la'ie,21.6477,-157.9253,28.98,70,72,4.02,US,07/03/2024
32,klyuchi,52.2667,79.1667,18.51,74,100,1.92,RU,07/03/2024
33,wailua homesteads,22.0669,-159.378,27.44,74,75,5.66,US,07/03/2024
34,talnakh,69.4865,88.3972,11.91,61,99,4.08,RU,07/03/2024
35,blackmans bay,-43.0167,147.3167,5.07,91,27,0.45,AU,07/03/2024
36,anadyr,64.75,177.4833,16.28,72,0,5.0,RU,07/03/2024
37,grytviken,-54.2811,-36.5092,-4.53,70,10,1.02,GS,07/03/2024
38,san ramon,37.7799,-121.978,41.49,19,0,5.66,US,07/03/2024
39,padang,-0.9492,100.3543,26.03,89,98,1.57,ID,07/03/2024
40,thompson,55.7435,-97.8558,23.07,43,14,5.33,CA,07/03/2024
41,st. john's,47.5649,-52.7093,14.4,86,99,2.04,CA,07/03/2024
42,isafjordur,66.0755,-23.124,4.17,94,100,6.73,IS,07/03/2024
43,jayapura,-2.5333,140.7,22.66,92,85,2.09,ID,07/03/2024
44,papatowai,-46.5619,169.4708,5.2,90,93,3.4,NZ,07/03/2024
45,tarapur,19.85,72.7,28.84,82,98,8.93,IN,07/03/2024
46,port alfred,-33.5906,26.891,12.32,83,62,0.89,ZA,07/03/2024
47,constantia,44.1833,28.65,20.39,85,100,4.05,RO,07/03/2024
48,santander,43.4647,-3.8044,18.59,81,0,3.09,ES,07/03/2024
49,talara,-4.5772,-81.2719,23.42,68,0,5.1,PE,07/03/2024
50,arraial do cabo,-22.9661,-42.0278,22.92,78,0,1.54,BR,07/03/2024
51,broken hill,-31.95,141.4333,6.92,78,31,5.73,AU,07/03/2024
